colour,lat,long,date,neighbourhood
#130908,49.268303,-123.113311,048_TueFeb17,False Creek
#837976,49.278904,-123.116303,048_TueFeb17,Yaletown
#150102,49.280720,-123.121391,048_TueFeb17,Yaletown
#140308,49.316700,-123.067000,048_TueFeb17,Keith-Lynn
#265F2E,49.269504,-123.115475,048_TueFeb17,False Creek
#050303,49.264019,-123.105309,048_TueFeb17,Mount Pleasant
#D2D9D3,49.264019,-123.105309,048_TueFeb17,Mount Pleasant
#C189A1,49.272636,-123.149818,048_TueFeb17,Kitsilano
#120803,49.270340,-123.134247,048_TueFeb17,Granville Island
#098C25,49.275604,-123.019449,048_TueFeb17,Burnaby Heights
#020101,49.258939,-123.100895,048_TueFeb17,Main Street
#8C8C8C,49.280701,-123.103127,048_TueFeb17,Chinatown
#EFECED,49.283220,-123.119157,048_TueFeb17,Chinatown
#130B03,49.271856,-123.135008,048_TueFeb17,Granville Island
#5A5A5A,49.276524,-123.100084,048_TueFeb17,Strathcona
#0D1907,49.283484,-123.104265,048_TueFeb17,Gastown
#010101,49.280720,-123.121391,048_TueFeb17,Yaletown
#010101,49.284599,-123.108887,048_TueFeb17,Gastown
#010601,49.278014,-123.109052,048_TueFeb17,Chinatown
#1A1D1A,49.250000,-123.100000,048_TueFeb17,Main Street
#C1CDC5,49.264019,-123.105309,048_TueFeb17,Mount Pleasant
#6FB711,49.283484,-123.104265,048_TueFeb17,Gastown
#18101C,49.275716,-123.128682,048_TueFeb17,Yaletown
#010101,49.293751,-123.149306,048_TueFeb17,Stanley Park
#060905,49.278038,-123.109234,048_TueFeb17,Chinatown
#06A11D,49.285063,-123.120397,048_TueFeb17,Robson Street
#11050A,49.280339,-123.124896,048_TueFeb17,Yaletown
#F9EEF4,49.300000,-123.140000,048_TueFeb17,Stanley Park
#041C02,49.283484,-123.104265,048_TueFeb17,Gastown
#1F0E13,49.283220,-123.119157,048_TueFeb17,Chinatown
#142516,49.282348,-123.101948,048_TueFeb17,Gastown
#0A0A04,49.300000,-123.140000,048_TueFeb17,Stanley Park
#050203,49.284572,-123.124657,048_TueFeb17,Robson Street
#D3F1E5,49.264264,-123.123146,048_TueFeb17,Fairview
#040302,49.288709,-123.111650,048_TueFeb17,Gastown
#D0BFCB,49.278014,-123.109052,048_TueFeb17,Chinatown
#040404,49.258939,-123.100895,048_TueFeb17,Main Street
#E1D9DA,49.250000,-123.100000,048_TueFeb17,Main Street
#F3E5E4,49.266361,-123.138596,048_TueFeb17,Fairview
#190C12,49.282834,-123.120458,048_TueFeb17,Robson Street
#010000,49.278500,-123.123560,048_TueFeb17,Yaletown
#010001,49.278014,-123.109052,048_TueFeb17,Chinatown
#170E0D,49.257108,-123.097155,048_TueFeb17,Main Street
#020101,49.257108,-123.097155,048_TueFeb17,Main Street
#010201,49.278014,-123.109052,048_TueFeb17,Chinatown
#040201,49.278500,-123.123560,048_TueFeb17,Yaletown
#751E4A,49.278014,-123.109052,048_TueFeb17,Chinatown
#040101,49.278500,-123.123560,048_TueFeb17,Yaletown
#020102,49.280720,-123.121391,048_TueFeb17,Yaletown
#070305,49.259029,-123.139160,048_TueFeb17,Fairview
#000000,49.289746,-123.130302,048_TueFeb17,Robson Street
#CAE3DD,49.250000,-123.100000,048_TueFeb17,Main Street
#FEFEFE,49.278014,-123.109052,048_TueFeb17,Chinatown
#010101,49.262500,-123.068889,048_TueFeb17,Commercial
#F6F0F3,49.278014,-123.109052,048_TueFeb17,Chinatown
#E4CADA,49.286126,-123.113469,048_TueFeb17,Gastown
#B769A8,49.293286,-123.139987,048_TueFeb17,West End
#030400,49.277991,-123.109338,048_TueFeb17,Chinatown
#190C0F,49.279327,-123.123436,048_TueFeb17,Yaletown
#050301,49.271856,-123.135008,048_TueFeb17,Granville Island
#070806,49.272850,-123.069590,048_TueFeb17,Commercial
#080607,49.269860,-123.134310,048_TueFeb17,Granville Island
#9C9999,49.287399,-123.125815,048_TueFeb17,Robson Street
#010101,49.250000,-123.100000,048_TueFeb17,Main Street
#070807,49.300000,-123.140000,048_TueFeb17,Stanley Park
#1F1615,49.284161,-123.112701,048_TueFeb17,Gastown
#010100,49.279810,-123.121969,048_TueFeb17,Yaletown
#F4F1F1,49.280796,-123.117943,048_TueFeb17,Yaletown
#F3F1F2,49.276524,-123.100084,048_TueFeb17,Strathcona
#040604,49.276524,-123.100084,048_TueFeb17,Strathcona
#21171D,49.281944,-123.121944,048_TueFeb17,Yaletown
#030201,49.300743,-123.130331,048_TueFeb17,Stanley Park
#56131C,48.105272,-121.834349,048_TueFeb17,Verlot
#050306,49.290100,-123.140402,048_TueFeb17,West End
#030502,49.267966,-123.151614,048_TueFeb17,Kitsilano
#050300,49.300743,-123.130331,048_TueFeb17,Stanley Park
#211920,49.285626,-123.139114,048_TueFeb17,West End
#040404,49.284042,-123.107463,048_TueFeb17,Gastown
#040301,49.250000,-123.100000,048_TueFeb17,Main Street
#100A0C,49.285627,-123.139128,048_TueFeb17,West End
#101815,49.272005,-123.114896,048_TueFeb17,Yaletown
#030101,49.268139,-123.099663,048_TueFeb17,False Creek
#090608,49.288311,-123.116730,048_TueFeb17,Coal Harbor
#050302,49.286300,-123.123300,048_TueFeb17,Robson Street
#030102,49.278038,-123.109234,048_TueFeb17,Chinatown
#F8F2F7,49.288301,-123.130459,048_TueFeb17,Robson Street
#CE95B1,49.289711,-123.116074,048_TueFeb17,Coal Harbor
#030602,49.275470,-123.136643,048_TueFeb17,Granville Island
#EEE7ED,49.250000,-123.100000,048_TueFeb17,Main Street
#E9E0E0,49.289588,-123.127209,048_TueFeb17,Robson Street
#050601,49.288071,-123.130814,048_TueFeb17,Robson Street
#CE7497,49.250000,-123.100000,048_TueFeb17,Main Street
#A57A85,49.278014,-123.109052,048_TueFeb17,Chinatown
#030102,49.274345,-123.118765,048_TueFeb17,Yaletown
#0C0A08,49.250000,-123.100000,048_TueFeb17,Main Street
#010101,49.262001,-123.070488,048_TueFeb17,Commercial
#020202,49.286477,-123.118190,048_TueFeb17,Coal Harbor
#020102,49.274345,-123.118765,048_TueFeb17,Yaletown
#867B84,49.276984,-123.116361,048_TueFeb17,Yaletown
#030102,49.274345,-123.118765,048_TueFeb17,Yaletown
